,0
0,1000000.0
1,1000000.0
2,1000000.0
3,1000000.0
4,1000000.0
5,1000000.0
6,1000000.0
7,1000000.0
8,1000000.0
9,1000000.0
10,1000000.0
11,1000000.0
12,1000000.0
13,1000000.0
14,1000000.0
15,1000000.0
16,1000000.0
17,1000000.0
18,1000000.0
19,1000000.0
20,1000000.0
21,1000000.0
22,1000000.0
23,1000000.0
24,1000000.0
25,1000000.0
26,1000000.0
27,1000000.0
28,1000000.0
29,1000000.0
30,1000000.0
31,1000000.0
32,1000000.0
33,1000000.0
34,1000000.0
35,1000000.0
36,999861.61308
37,999197.2324999999
38,998719.4646
39,998719.4646
40,998719.4646
41,998719.4646
42,998719.4646
43,998719.4646
44,998719.4646
45,998719.4646
46,998719.4646
47,998719.4646
48,998719.4646
49,998719.4646
50,998719.4646
51,998719.4646
52,998719.4646
53,998719.4646
54,998719.4646
55,998719.4646
56,998719.4646
57,998719.4646
58,998719.4646
59,998719.4646
60,998719.4646
61,998719.4646
62,998719.4646
63,998719.4646
64,998719.4646
65,998719.4646
66,998719.4646
67,998719.4646
68,998719.4646
69,998719.4646
70,998719.4646
71,998719.4646
72,998719.4646
73,998719.4646
74,998719.4646
75,998719.4646
76,998719.4646
77,998719.4646
78,998719.4646
79,998719.4646
80,998719.4646
81,998719.4646
82,998719.4646
83,998719.4646
84,998719.4646
85,998719.4646
86,998719.4646
87,998719.4646
88,998719.4646
89,998719.4646
90,998719.4646
91,998719.4646
92,998719.4646
93,998719.4646
94,998719.4646
95,998719.4646
96,998719.4646
97,998719.4646
98,998719.4646
99,998719.4646
100,998719.4646
101,998719.4646
102,998719.4646
103,998719.4646
104,998719.4646
105,998719.4646
106,998719.4646
107,998719.4646
108,998719.4646
109,998719.4646
110,998719.4646
111,998719.4646
112,998719.4646
113,998719.4646
114,998719.4646
115,998719.4646
116,998719.4646
117,998719.4646
118,998719.4646
119,998719.4646
120,998719.4646
121,998719.4646
122,998719.4646
123,998719.4646
124,998719.4646
125,998719.4646
126,998719.4646
127,998719.4646
128,998719.4646
129,998719.4646
130,998719.4646
131,998719.4646
132,998719.4646
133,998719.4646
134,998719.4646
135,998719.4646
136,998719.4646
137,998719.4646
138,998719.4646
139,998719.4646
140,998719.4646
141,998719.4646
142,998719.4646
143,998719.4646
144,997637.8948799998
145,996942.2354399997
146,996942.2354399997
147,996942.2354399997
148,996942.2354399997
149,996942.2354399997
150,996942.2354399997
151,996942.2354399997
152,996942.2354399997
153,996942.2354399997
154,996942.2354399997
155,996942.2354399997
156,996942.2354399997
157,996942.2354399997
158,996942.2354399997
159,996942.2354399997
160,996942.2354399997
161,996942.2354399997
162,996942.2354399997
163,996942.2354399997
164,996942.2354399997
165,996942.2354399997
166,996942.2354399997
167,996942.2354399997
168,996942.2354399997
169,996942.2354399997
170,996942.2354399997
171,996942.2354399997
172,996942.2354399997
173,996942.2354399997
174,996942.2354399997
175,996942.2354399997
176,996942.2354399997
177,996942.2354399997
178,996942.2354399997
179,996942.2354399997
180,996942.2354399997
181,996942.2354399997
182,996942.2354399997
183,996942.2354399997
184,996942.2354399997
185,996942.2354399997
186,996942.2354399997
187,996942.2354399997
188,996942.2354399997
189,996942.2354399997
190,996942.2354399997
191,996942.2354399997
192,996942.2354399997
193,996942.2354399997
194,996942.2354399997
195,996942.2354399997
196,996942.2354399997
197,996942.2354399997
198,996942.2354399997
199,996942.2354399997
200,996942.2354399997
201,996942.2354399997
202,996942.2354399997
203,996942.2354399997
204,996942.2354399997
205,996942.2354399997
206,996942.2354399997
207,996942.2354399997
208,996942.2354399997
209,996942.2354399997
210,996942.2354399997
211,996942.2354399997
212,996942.2354399997
213,996942.2354399997
214,996942.2354399997
215,996942.2354399997
216,996942.2354399997
217,996942.2354399997
218,996942.2354399997
219,996942.2354399997
220,996942.2354399997
221,996942.2354399997
222,996942.2354399997
223,996942.2354399997
224,996942.2354399997
225,996942.2354399997
226,996942.2354399997
227,996942.2354399997
228,996942.2354399997
229,996942.2354399997
230,996942.2354399997
231,996942.2354399997
232,996942.2354399997
233,996942.2354399997
234,996942.2354399997
235,996942.2354399997
236,996942.2354399997
237,996942.2354399997
238,996942.2354399997
239,996942.2354399997
240,996942.2354399997
241,996942.2354399997
242,996942.2354399997
243,996942.2354399997
244,996942.2354399997
245,996942.2354399997
246,996942.2354399997
247,996942.2354399997
248,996942.2354399997
249,996942.2354399997
250,996942.2354399997
251,996942.2354399997
252,996942.2354399997
253,996942.2354399997
254,996942.2354399997
255,996942.2354399997
256,996942.2354399997
257,996942.2354399997
258,996942.2354399997
259,996942.2354399997
260,996942.2354399997
261,996942.2354399997
262,996942.2354399997
263,996942.2354399997
264,996942.2354399997
265,996942.2354399997
266,996942.2354399997
267,996942.2354399997
268,996942.2354399997
269,996942.2354399997
270,996942.2354399997
271,996942.2354399997
272,996942.2354399997
273,996942.2354399997
274,996942.2354399997
275,996942.2354399997
276,996942.2354399997
277,996942.2354399997
278,996942.2354399997
279,996942.2354399997
280,996942.2354399997
281,996942.2354399997
282,996942.2354399997
283,996942.2354399997
284,996942.2354399997
285,996942.2354399997
286,996942.2354399997
287,996942.2354399997
288,996942.2354399997
289,996942.2354399997
290,996942.2354399997
291,996942.2354399997
292,996942.2354399997
293,996942.2354399997
294,996942.2354399997
295,996942.2354399997
296,996942.2354399997
297,996942.2354399997
298,996942.2354399997
299,996942.2354399997
300,996942.2354399997
301,996942.2354399997
302,996942.2354399997
303,996942.2354399997
304,996942.2354399997
305,996942.2354399997
306,996942.2354399997
307,996942.2354399997
308,996942.2354399997
309,996942.2354399997
310,996942.2354399997
311,996942.2354399997
312,996942.2354399997
313,996942.2354399997
314,996942.2354399997
315,996942.2354399997
316,996942.2354399997
317,996942.2354399997
318,996942.2354399997
319,996942.2354399997
320,996942.2354399997
321,996942.2354399997
322,996942.2354399997
323,996942.2354399997
324,996942.2354399997
325,996942.2354399997
326,996942.2354399997
327,996942.2354399997
328,996942.2354399997
329,996942.2354399997
330,996942.2354399997
331,996942.2354399997
332,996942.2354399997
333,996942.2354399997
334,996942.2354399997
335,996942.2354399997
336,996942.2354399997
337,996942.2354399997
338,996942.2354399997
339,996942.2354399997
340,996942.2354399997
341,996942.2354399997
342,996942.2354399997
343,996942.2354399997
344,996942.2354399997
345,996942.2354399997
346,996942.2354399997
347,996942.2354399997
348,996942.2354399997
349,996942.2354399997
350,996942.2354399997
351,996942.2354399997
352,996942.2354399997
353,996942.2354399997
354,996942.2354399997
355,996942.2354399997
356,996942.2354399997
357,996942.2354399997
358,996942.2354399997
359,996942.2354399997
360,996942.2354399997
361,996942.2354399997
362,996942.2354399997
363,996942.2354399997
364,996942.2354399997
365,996942.2354399997
366,996942.2354399997
367,996942.2354399997
368,996942.2354399997
369,996942.2354399997
370,996942.2354399997
371,996942.2354399997
372,996942.2354399997
373,996942.2354399997
374,996942.2354399997
375,996942.2354399997
376,996942.2354399997
377,996942.2354399997
378,996942.2354399997
379,996942.2354399997
380,996942.2354399997
381,996942.2354399997
382,996942.2354399997
383,996942.2354399997
384,996942.2354399997
385,996942.2354399997
386,996942.2354399997
387,996942.2354399997
388,996942.2354399997
389,996942.2354399997
390,996942.2354399997
391,996942.2354399997
